Category;Title;Format;URL
Azure;Introducing_Windows_Azure™_for_IT_Professionals;PDF ;http://ligman.me/1IW1oab
Azure;Microsoft_Azure_Essentials_Azure_Automation;PDF ;http://ligman.me/1H4VXHT
Azure;Microsoft_Azure_Essentials_Azure_Machine_Learning;PDF ;http://ligman.me/1NDTZR4
Azure;Microsoft_Azure_Essentials_Fundamentals_of_Azure;PDF ;http://ligman.me/1JIhgjA
Azure;Microsoft_Azure_Essentials_Fundamentals_of_Azure_Second_Edition;PDF;http://ligman.me/2sUanwC
Azure;Microsoft_Azure_Essentials_Fundamentals_of_Azure_Second_Edition_Mobile;PDF;http://ligman.me/2twPBSD
Azure;Microsoft_Azure_Essentials_Migrating_SQL_Server_Databases_to_Azure_–_Mobile;PDF;http://ligman.me/2tE7q0i
Azure;Microsoft_Azure_Essentials_Migrating_SQL_Server_Databases_to_Azure_8.5X11;PDF;http://ligman.me/2t2y29a
Azure;Microsoft_Azure_ExpressRoute_Guide;PDF;http://ligman.me/2tJ1pj4
Azure;Overview_of_Azure_Active_Directory;DOC;http://ligman.me/1G2oDNG
Azure;Rapid_Deployment_Guide_For_Azure_Rights_Management;PDF;http://ligman.me/2u2KdXT
Azure;Rethinking_Enterprise_Storage_A_Hybrid_Cloud_Model;PDF ;http://ligman.me/1IW1s9S
BizTalk;BizTalk_Server_2016_Licensing_Datasheet;PDF;http://ligman.me/2tEn8Zy
BizTalk;BizTalk_Server_2016_Management_Pack_Guide;DOC;http://ligman.me/2tEbPAp
Cloud;Enterprise_Cloud_Strategy;PDF ;http://ligman.me/2u0WD2F
Cloud;Enterprise_Cloud_Strategy_–_Mobile;PDF;http://ligman.me/2t2Ghm1
Developer;.NET_Microservices_Architecture_for_Containerized_.NET_Applications;PDF;http://ligman.me/2sLiBTE
Developer;.NET_Technology_Guidance_for_Business_Applications;PDF;http://ligman.me/1gfeQ27
Developer;Building_Cloud_Apps_with_Microsoft_Azure™_Best_practices_for_DevOps_data_storage_high_availability_and_more;PDF ;http://ligman.me/1KBM8DL
Developer;Containerized_Docker_Application_Lifecycle_with_Microsoft_Platform_and_Tools;PDF;http://ligman.me/2v7M0bp
Developer;Creating_Mobile_Apps_with_Xamarin.Forms_Preview_Edition_2;PDF ;http://ligman.me/1dDcwQC
